,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,y_pred_final_proba,y_pred_final,y_actual
4347,29.0,Mobile Phone,1,21.0,Credit Card,Male,4.0,2,Others,4,Single,10,0,15.0,3.0,3.0,16.0,312.22,0.00039650948701958663,0,0
2375,4.0,Mobile Phone,3,14.0,Debit Card,Male,2.0,3,Fashion,1,Married,2,0,18.0,2.0,9.0,9.0,207.93,0.07342222717041975,0,0
3964,5.0,Mobile Phone,3,36.0,E-Wallet,Female,4.0,5,Laptop & Accessory,1,Married,3,0,15.0,3.0,6.0,8.0,179.68,0.021010278085554515,0,0
759,13.0,Mobile Phone,3,16.0,Cash on Delivery,Female,2.0,4,Laptop & Accessory,4,Married,8,0,12.0,1.0,1.0,3.0,168.52,0.09057977103312456,0,0
1555,0.0,Mobile Phone,3,10.0,Credit Card,Male,2.0,5,Fashion,1,Married,2,0,11.0,6.0,9.0,8.0,204.0,0.9480908261501761,1,1
4243,12.0,Computer,1,13.0,Credit Card,Female,4.0,6,Laptop & Accessory,1,Married,9,1,13.0,1.0,2.0,10.0,178.29,0.0375606609713463,0,0
1367,7.0,Mobile Phone,1,13.0,Debit Card,Female,2.0,3,Fashion,4,Single,1,0,11.0,0.0,2.0,4.0,219.94,0.009958749993915597,0,0
2020,4.0,Mobile Phone,3,13.0,Debit Card,Male,2.0,4,Mobile Phone,3,Married,4,0,15.0,2.0,5.0,2.0,123.28999999999999,0.01155629702817643,0,0
1450,30.0,Computer,2,8.0,Unified Payment Identifier,Female,2.0,4,Others,1,Married,10,0,21.0,1.0,2.0,2.0,288.44,0.000186827676796188,0,0
5116,30.0,Mobile Phone,2,15.0,Debit Card,Male,4.0,4,Others,4,Single,8,0,15.0,3.0,8.0,8.0,322.17,0.0013580281384633196,0,0
2063,18.0,Computer,1,29.0,Debit Card,Male,2.0,3,Laptop & Accessory,5,Married,2,1,15.0,1.0,1.0,8.0,136.33,0.013910823931550806,0,0
3864,1.0,Computer,1,9.0,Debit Card,Male,4.0,2,Laptop & Accessory,3,Married,3,0,18.0,1.0,2.0,8.0,177.06,0.03923024385032195,0,0
761,3.0,Mobile Phone,1,6.0,Credit Card,Male,3.0,3,Mobile Phone,4,Divorced,1,1,21.0,1.0,5.0,7.0,135.79,0.0422518083808717,0,0
4668,9.0,Mobile Phone,1,13.0,Debit Card,Male,3.0,6,Laptop & Accessory,1,Single,3,0,14.0,1.0,12.0,9.0,191.46,0.007908440850084372,0,0
5436,11.0,Mobile Phone,3,16.0,E-Wallet,Male,3.0,5,Laptop & Accessory,4,Married,3,0,15.0,2.0,2.0,4.0,166.89,0.01938243406014667,0,0
4657,18.0,Mobile Phone,1,10.0,Unified Payment Identifier,Male,3.0,4,Others,1,Married,6,1,15.0,1.0,2.0,2.0,320.13,0.001760856562695003,0,0
2874,27.0,Mobile Phone,1,20.0,Credit Card,Female,3.0,3,Laptop & Accessory,5,Married,3,0,12.0,2.0,2.0,4.0,169.5,0.0011836272238106484,0,0
4135,15.0,Mobile Phone,1,35.0,Debit Card,Female,3.0,5,Grocery,4,Married,2,0,24.0,2.0,2.0,11.0,260.7,0.006205399910054426,0,0
2493,12.0,Mobile Phone,1,16.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Married,3,0,13.0,3.0,7.0,7.0,153.77,0.019720006350871077,0,0
4370,1.0,Mobile Phone,3,11.0,Credit Card,Male,3.0,6,Fashion,1,Married,3,0,12.0,7.0,10.0,2.0,229.0,0.9664480722356451,1,1
3525,9.0,Mobile Phone,2,15.0,Cash on Delivery,Male,4.0,4,Mobile Phone,3,Single,3,0,18.0,1.0,2.0,5.0,168.23,0.034361521708989776,0,0
1710,19.0,Computer,1,13.0,Credit Card,Female,1.0,3,Laptop & Accessory,3,Married,3,0,14.0,1.0,1.0,0.0,152.58,0.01877275714391557,0,0
5152,13.0,Computer,1,32.0,Debit Card,Male,4.0,4,Fashion,3,Married,5,0,22.0,1.0,2.0,6.0,234.2,0.039635901552297924,0,0
227,21.0,Mobile Phone,3,35.0,Credit Card,Female,3.0,3,Fashion,3,Divorced,4,0,21.0,0.0,1.0,4.0,225.04000000000002,0.019109805031766767,0,0
5250,3.0,Mobile Phone,1,15.0,Unified Payment Identifier,Female,3.0,6,Laptop & Accessory,5,Married,5,0,14.0,2.0,2.0,4.0,222.15,0.02710292158717027,0,0
1219,10.0,Mobile Phone,1,13.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Married,6,1,22.0,0.0,1.0,4.0,142.84,0.01680615247007286,0,0
700,2.0,Mobile Phone,1,14.0,Credit Card,Male,3.0,4,Laptop & Accessory,2,Divorced,2,1,13.0,0.0,1.0,2.0,150.56,0.05651299988091137,0,0
4133,16.0,Mobile Phone,1,9.0,Debit Card,Male,3.0,4,Others,3,Married,7,0,15.0,2.0,5.0,15.0,313.8,0.006818255441168768,0,0
4065,1.0,Computer,1,12.0,Debit Card,Female,3.0,2,Mobile Phone,3,Single,5,1,15.0,1.0,2.0,4.0,149.32,0.9396172806121001,1,1
5181,1.0,Mobile Phone,3,16.0,Debit Card,Male,4.0,5,Mobile Phone,5,Married,5,0,13.0,3.0,3.0,3.0,169.0,0.9240477542244551,1,1
1588,13.0,Mobile Phone,1,30.0,Cash on Delivery,Male,3.0,3,Laptop & Accessory,1,Married,2,0,17.0,2.0,4.0,7.0,133.19,0.017726299909639094,0,0
564,0.0,Mobile Phone,1,10.0,Cash on Delivery,Male,3.0,3,Mobile Phone,5,Single,2,0,19.0,1.0,1.0,0.0,129.73,0.5464884883550357,1,1
140,2.0,Mobile Phone,3,8.0,Credit Card,Male,3.0,4,Laptop & Accessory,4,Divorced,3,0,19.0,0.0,1.0,0.0,166.44,0.04516320037212898,0,0
344,0.0,Computer,3,17.0,Unified Payment Identifier,Male,2.0,2,Laptop & Accessory,3,Divorced,9,0,12.0,1.0,1.0,2.0,147.07,0.9304556727505212,1,1
313,8.0,Mobile Phone,1,22.0,Debit Card,Male,3.0,3,Fashion,3,Divorced,5,1,12.0,0.0,1.0,0.0,176.32,0.27074283355740747,0,0
5136,30.0,Mobile Phone,1,30.0,Debit Card,Male,4.0,4,Grocery,4,Married,6,1,13.0,14.0,2.0,10.0,259.02,0.0010391120796856732,0,0
4248,4.0,Mobile Phone,1,9.0,Debit Card,Male,5.0,5,Laptop & Accessory,1,Married,3,0,20.0,4.0,11.0,9.0,166.52,0.006321038352542682,0,0
3028,4.0,Mobile Phone,3,12.0,E-Wallet,Female,2.0,5,Laptop & Accessory,3,Married,3,0,14.0,1.0,2.0,3.0,186.18,0.018865319963187806,0,0
5150,7.0,Computer,3,12.0,Debit Card,Male,4.0,4,Laptop & Accessory,1,Married,8,0,14.0,2.0,2.0,4.0,224.98,0.04485846623777047,0,0
462,25.0,Mobile Phone,1,17.0,Debit Card,Female,3.0,3,Laptop & Accessory,3,Divorced,9,0,20.0,1.0,1.0,4.0,131.49,0.0012279974280368134,0,0
5102,10.0,Mobile Phone,1,17.0,Cash on Delivery,Female,4.0,4,Fashion,3,Married,5,0,13.0,2.0,2.0,8.0,195.94,0.09435759165274693,0,0
1311,0.0,Mobile Phone,3,13.0,Credit Card,Male,2.0,3,Mobile Phone,5,Single,2,1,11.0,1.0,1.0,2.0,123.80000000000001,0.5471440102140895,1,0
1503,13.0,Mobile Phone,3,10.0,E-Wallet,Male,3.0,4,Fashion,1,Married,8,0,11.0,1.0,2.0,11.0,208.55,0.05436760881685616,0,0
1608,19.0,Mobile Phone,3,8.0,Cash on Delivery,Female,3.0,5,Grocery,4,Married,4,1,12.0,1.0,7.0,7.0,268.72,0.024304144545098195,0,0
1940,20.0,Mobile Phone,1,8.0,Debit Card,Male,2.0,3,Others,4,Single,8,1,14.0,7.0,13.0,8.0,292.46,0.9724912286404023,1,1
3856,22.0,Computer,1,11.0,Credit Card,Male,3.0,5,Grocery,1,Married,4,0,26.0,1.0,3.0,3.0,277.02,0.00020554347495949348,0,0
50,29.0,Mobile Phone,1,14.0,Debit Card,Female,3.0,3,Mobile Phone,5,Married,5,1,18.0,1.0,2.0,2.0,142.57,0.0009332137373029235,0,0
3297,13.0,Mobile Phone,3,18.0,E-Wallet,Female,3.0,4,Fashion,2,Divorced,3,0,19.0,1.0,8.0,8.0,201.54,0.8470618403132968,1,1
407,20.0,Mobile Phone,3,20.0,E-Wallet,Male,2.0,3,Laptop & Accessory,5,Single,3,0,12.0,0.0,1.0,7.0,149.6,0.017015098648562776,0,0
2422,0.0,Mobile Phone,1,15.0,Cash on Delivery,Male,3.0,4,Mobile Phone,5,Single,7,0,13.0,1.0,1.0,7.0,123.62,0.9919206871461966,1,1
689,13.0,Mobile Phone,1,20.0,Credit Card,Male,2.0,4,Others,3,Single,2,0,15.0,4.0,4.0,9.0,296.26,0.02184593644234871,0,0
3558,2.0,Mobile Phone,1,26.0,Credit Card,Male,4.0,5,Mobile Phone,5,Divorced,3,0,13.0,2.0,4.0,4.0,156.96,0.05690281918672678,0,0
3521,1.0,Computer,1,22.0,Credit Card,Male,4.0,4,Mobile Phone,3,Divorced,3,0,13.0,3.0,3.0,3.0,151.1,0.5802866985727755,1,1
216,11.0,Mobile Phone,1,21.0,Debit Card,Male,3.0,4,Fashion,2,Married,1,1,14.0,1.0,2.0,4.0,215.10000000000002,0.006522524652954639,0,0
1975,0.0,Mobile Phone,1,6.0,Debit Card,Male,2.0,4,Laptop & Accessory,1,Married,7,0,22.0,2.0,2.0,2.0,147.75,0.04819714159354128,0,0
3266,3.0,Computer,3,6.0,E-Wallet,Male,3.0,4,Laptop & Accessory,2,Divorced,2,0,20.0,1.0,2.0,2.0,168.42,0.005527306843467758,0,0
4374,1.0,Mobile Phone,1,10.0,Cash on Delivery,Female,3.0,4,Mobile Phone,5,Single,7,1,12.0,1.0,2.0,5.0,151.57,0.9813183307327498,1,1
4826,1.0,Mobile Phone,1,10.0,Debit Card,Female,3.0,4,Laptop & Accessory,3,Married,2,1,20.0,2.0,2.0,3.0,166.71,0.8099705945698116,1,1
4647,1.0,Mobile Phone,1,7.0,Debit Card,Female,3.0,5,Mobile Phone,4,Single,3,0,14.0,1.0,2.0,1.0,153.36,0.12979232882711553,0,0
838,11.0,Mobile Phone,3,8.0,Debit Card,Female,2.0,3,Laptop & Accessory,5,Married,4,0,15.0,0.0,1.0,7.0,168.93,0.011642692593195187,0,0
1247,12.0,Mobile Phone,1,15.0,Credit Card,Male,2.0,3,Laptop & Accessory,5,Married,2,0,25.0,4.0,7.0,9.0,151.51,0.003940190557170277,0,0
2122,1.0,Mobile Phone,1,16.0,Debit Card,Female,2.0,4,Mobile Phone,5,Single,2,0,13.0,0.0,1.0,0.0,114.16,0.9847799625518319,1,1
813,30.0,Mobile Phone,1,13.0,Debit Card,Male,2.0,3,Mobile Phone,3,Married,2,0,12.0,2.0,2.0,2.0,123.72,0.001235185806397072,0,0
3660,1.0,Mobile Phone,3,18.0,Credit Card,Female,4.0,2,Mobile Phone,2,Divorced,10,0,15.0,2.0,2.0,1.0,150.34,0.8090774439426333,1,0
3410,1.0,Mobile Phone,1,29.0,Debit Card,Female,3.0,4,Mobile Phone,3,Divorced,6,1,12.0,1.0,2.0,2.0,146.32,0.961900669866223,1,1
2954,1.0,Mobile Phone,1,9.0,Debit Card,Male,4.0,4,Mobile Phone,3,Single,4,0,12.0,2.0,2.0,1.0,159.85,0.9260926567995367,1,1
3477,29.0,Computer,1,9.0,Debit Card,Male,4.0,4,Fashion,4,Divorced,5,0,19.0,2.0,2.0,3.0,234.76,0.0009029176551977588,0,0
113,5.0,Mobile Phone,3,10.0,Debit Card,Female,2.0,3,Mobile Phone,4,Divorced,3,0,11.0,1.0,1.0,2.0,139.31,0.010250173019269752,0,0
2818,1.0,Mobile Phone,3,16.0,Debit Card,Male,3.0,5,Laptop & Accessory,5,Single,9,0,24.0,1.0,2.0,4.0,159.07,0.9404938263600947,1,1
91,0.0,Computer,3,32.0,E-Wallet,Female,2.0,4,Laptop & Accessory,5,Single,6,0,15.0,0.0,1.0,1.0,166.96,0.9919476733941591,1,1
2004,1.0,Mobile Phone,3,11.0,Credit Card,Male,3.0,3,Laptop & Accessory,1,Single,2,0,14.0,0.0,1.0,2.0,149.08,0.004703697960927788,0,0
721,8.0,Mobile Phone,1,8.0,Debit Card,Male,2.0,4,Fashion,4,Married,3,0,18.0,6.0,6.0,4.0,202.74,0.0417993463819555,0,0
4258,31.0,Mobile Phone,3,17.0,Credit Card,Male,3.0,4,Grocery,3,Single,2,0,14.0,1.0,2.0,9.0,263.72,0.0006155130183594898,0,0
111,0.0,Mobile Phone,1,8.0,Debit Card,Female,3.0,3,Mobile Phone,5,Divorced,8,0,20.0,1.0,1.0,7.0,127.07,0.9229025019536288,1,1
1396,0.0,Mobile Phone,1,11.0,Cash on Delivery,Male,2.0,3,Mobile Phone,3,Single,2,1,13.0,0.0,2.0,2.0,134.41,0.9698396690643015,1,1
1315,9.0,Computer,1,10.0,Debit Card,Female,3.0,3,Laptop & Accessory,4,Married,8,0,13.0,1.0,1.0,2.0,151.31,0.011648908682699992,0,0
5459,14.0,Mobile Phone,1,8.0,Debit Card,Female,3.0,4,Laptop & Accessory,1,Married,6,0,18.0,1.0,2.0,4.0,190.13,0.011733134820827778,0,0
2999,5.0,Mobile Phone,1,12.0,Cash on Delivery,Male,3.0,4,Mobile Phone,2,Divorced,2,1,13.0,1.0,2.0,4.0,173.21,0.02318160862525309,0,0
758,6.0,Mobile Phone,1,15.0,Credit Card,Male,3.0,3,Mobile Phone,2,Divorced,1,0,13.0,1.0,4.0,10.0,127.81,0.023986988523467843,0,0
239,10.0,Mobile Phone,1,16.0,Credit Card,Female,3.0,3,Mobile Phone,5,Divorced,7,0,20.0,1.0,1.0,3.0,134.52,0.18188250833076625,0,0
4380,10.0,Mobile Phone,1,12.0,Debit Card,Male,4.0,4,Laptop & Accessory,4,Single,10,0,17.0,3.0,4.0,8.0,184.14,0.018544025785320033,0,0
988,5.0,Computer,1,6.0,Cash on Delivery,Male,3.0,3,Laptop & Accessory,5,Married,5,0,14.0,1.0,1.0,2.0,140.87,0.03427588690553819,0,0
558,0.0,Mobile Phone,3,15.0,E-Wallet,Male,2.0,4,Mobile Phone,4,Divorced,2,1,18.0,0.0,1.0,0.0,124.13,0.9981515713320509,1,1
3803,6.0,Computer,1,7.0,Cash on Delivery,Male,4.0,4,Laptop & Accessory,5,Married,6,0,15.0,2.0,2.0,3.0,165.87,0.04023536899382763,0,0
5164,1.0,Mobile Phone,1,14.0,Unified Payment Identifier,Male,4.0,2,Mobile Phone,5,Single,2,0,13.0,1.0,2.0,8.0,160.78,0.10987597742551233,0,0
4366,1.0,Mobile Phone,1,12.0,Debit Card,Male,3.0,2,Mobile Phone,4,Married,3,1,17.0,3.0,3.0,3.0,148.28,0.09397511574624365,0,0
1593,10.0,Mobile Phone,1,6.0,Credit Card,Female,2.0,4,Mobile Phone,5,Married,3,0,14.0,0.0,1.0,2.0,139.2,0.005632194690366641,0,0
1136,11.0,Mobile Phone,1,24.0,Credit Card,Male,2.0,5,Laptop & Accessory,1,Married,4,1,16.0,0.0,1.0,0.0,158.11,0.00633009383365143,0,0
5234,7.0,Mobile Phone,1,15.0,Debit Card,Male,4.0,4,Laptop & Accessory,3,Single,4,1,18.0,2.0,2.0,1.0,188.88,0.07861008862075142,0,0
5010,6.0,Computer,3,9.0,Debit Card,Female,4.0,4,Mobile Phone,5,Married,3,0,13.0,2.0,2.0,1.0,153.27,0.030749964654016214,0,0
2845,3.0,Computer,1,7.0,Cash on Delivery,Male,3.0,4,Laptop & Accessory,3,Divorced,3,0,14.0,1.0,2.0,10.0,168.19,0.004055744841785605,0,0
4920,27.0,Computer,3,9.0,E-Wallet,Female,3.0,5,Fashion,4,Married,4,0,13.0,6.0,7.0,13.0,200.25,0.0019055331376204147,0,0
2076,0.0,Mobile Phone,1,15.0,Credit Card,Female,3.0,4,Mobile Phone,5,Single,2,1,15.0,1.0,1.0,0.0,126.0,0.9950445405113145,1,1
4408,11.0,Mobile Phone,1,7.0,Credit Card,Female,3.0,5,Mobile Phone,5,Married,4,0,15.0,1.0,2.0,3.0,164.2,0.005252817206757618,0,0
4841,12.0,Mobile Phone,1,7.0,Cash on Delivery,Female,4.0,4,Fashion,5,Married,3,0,14.0,5.0,6.0,12.0,260.82,0.007388128761991195,0,0
3532,1.0,Mobile Phone,1,19.0,Debit Card,Female,4.0,4,Mobile Phone,2,Divorced,3,1,12.0,2.0,2.0,1.0,150.15,0.9579422643431945,1,1
2985,16.0,Computer,3,33.0,E-Wallet,Female,4.0,4,Grocery,4,Divorced,7,0,15.0,3.0,2.0,9.0,260.25,0.03963091011632582,0,0
1224,0.0,Mobile Phone,1,6.0,Debit Card,Female,3.0,4,Mobile Phone,3,Married,2,1,13.0,0.0,1.0,0.0,129.33,0.7859843197113368,1,0
149,0.0,Mobile Phone,1,9.0,Credit Card,Male,3.0,4,Mobile Phone,3,Single,2,0,17.0,1.0,1.0,0.0,132.3,0.770039097891837,1,0
1286,10.0,Mobile Phone,2,8.0,Unified Payment Identifier,Female,2.0,3,Mobile Phone,4,Married,5,0,14.0,0.0,1.0,2.0,121.87,0.006567003741255146,0,0
2764,15.0,Mobile Phone,1,24.0,Debit Card,Male,2.0,3,Laptop & Accessory,5,Married,7,1,17.0,1.0,1.0,2.0,154.1,0.02080351477595018,0,0
2967,12.0,Mobile Phone,3,14.0,Credit Card,Female,3.0,3,Laptop & Accessory,5,Married,3,1,25.0,1.0,8.0,8.0,181.05,0.01044437410257349,0,0
1106,19.0,Mobile Phone,1,19.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Single,7,0,14.0,1.0,1.0,9.0,155.62,0.012846184829743581,0,0
4809,27.0,Mobile Phone,1,30.0,Debit Card,Female,4.0,4,Grocery,1,Single,8,0,19.0,1.0,4.0,9.0,267.75,0.0005573454734561198,0,0
3342,11.0,Computer,3,26.0,Credit Card,Male,3.0,4,Fashion,4,Single,3,1,14.0,1.0,2.0,10.0,201.42,0.46352024082234455,0,0
245,0.0,Mobile Phone,3,18.0,Debit Card,Female,3.0,2,Mobile Phone,4,Single,2,0,15.0,0.0,1.0,0.0,127.16,0.947184898734081,1,1
1752,18.0,Mobile Phone,1,13.0,Debit Card,Male,3.0,3,Mobile Phone,1,Married,4,0,21.0,0.0,1.0,2.0,126.53999999999999,0.004969019350786699,0,0
976,5.0,Mobile Phone,1,11.0,Debit Card,Female,3.0,4,Laptop & Accessory,4,Married,4,0,12.0,1.0,2.0,5.0,158.78,0.007178157803755888,0,0
942,20.0,Mobile Phone,3,20.0,Credit Card,Female,3.0,3,Laptop & Accessory,3,Divorced,4,1,17.0,1.0,1.0,2.0,145.91,0.07256140424394886,0,0
4007,1.0,Computer,1,12.0,Debit Card,Female,3.0,4,Mobile Phone,1,Single,2,1,15.0,2.0,2.0,3.0,148.79,0.09063537439380649,0,0
2569,10.0,Mobile Phone,1,23.0,Credit Card,Male,3.0,5,Mobile Phone,3,Married,2,0,15.0,1.0,1.0,2.0,123.05000000000001,0.0023395773176591436,0,0
4859,26.0,Mobile Phone,1,7.0,Debit Card,Male,4.0,4,Grocery,1,Married,4,0,15.0,4.0,8.0,9.0,295.99,0.0008848784898310242,0,0
4772,2.0,Mobile Phone,3,9.0,E-Wallet,Female,3.0,4,Laptop & Accessory,4,Married,3,1,21.0,7.0,8.0,6.0,172.79,0.03527788015728573,0,0
1596,12.0,Computer,1,8.0,Cash on Delivery,Female,3.0,3,Fashion,3,Single,1,0,25.0,6.0,11.0,4.0,209.38,0.0024003286564144265,0,0
3493,8.0,Computer,1,10.0,Debit Card,Male,3.0,5,Mobile Phone,2,Divorced,5,0,18.0,2.0,2.0,1.0,154.79,0.03407206685792664,0,0
2002,2.0,Mobile Phone,1,13.0,Credit Card,Female,3.0,4,Mobile Phone,1,Married,7,0,14.0,1.0,1.0,3.0,125.32,0.05837620618600472,0,0
869,25.0,Computer,1,34.0,Credit Card,Female,2.0,1,Grocery,3,Divorced,3,1,11.0,0.0,2.0,2.0,232.47000000000003,0.002438930367626993,0,0
1958,7.0,Mobile Phone,2,9.0,Unified Payment Identifier,Male,2.0,3,Mobile Phone,1,Married,1,0,19.0,1.0,1.0,2.0,137.37,0.0022358214065492585,0,0
3976,14.0,Mobile Phone,1,9.0,Debit Card,Female,3.0,4,Mobile Phone,5,Married,6,0,18.0,2.0,2.0,3.0,158.77,0.008438889035638173,0,0
4470,5.0,Mobile Phone,2,9.0,Unified Payment Identifier,Male,4.0,5,Laptop & Accessory,5,Married,5,0,13.0,1.0,2.0,1.0,189.1,0.019291785157260332,0,0
2833,1.0,Computer,1,14.0,Debit Card,Male,4.0,6,Laptop & Accessory,3,Single,3,1,25.0,2.0,2.0,7.0,185.74,0.9083609400524707,1,1
1549,1.0,Mobile Phone,1,35.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Married,8,1,19.0,1.0,1.0,0.0,166.73,0.9920531985224278,1,1
1599,2.0,Mobile Phone,3,26.0,E-Wallet,Male,2.0,3,Laptop & Accessory,1,Married,3,0,14.0,1.0,1.0,2.0,169.31,0.04043662623973195,0,0
1422,18.0,Mobile Phone,1,12.0,Unified Payment Identifier,Male,2.0,3,Fashion,5,Married,5,1,14.0,1.0,2.0,0.0,232.45,0.019214202041840427,0,0
153,0.0,Computer,1,6.0,Debit Card,Female,2.0,3,Laptop & Accessory,4,Married,2,0,20.0,0.0,1.0,4.0,163.97,0.00929302814579234,0,0
4497,3.0,Mobile Phone,1,16.0,Unified Payment Identifier,Male,2.0,5,Mobile Phone,1,Single,2,0,18.0,2.0,3.0,3.0,164.83,0.005538479008068352,0,0
4711,13.0,Mobile Phone,2,10.0,Unified Payment Identifier,Female,3.0,2,Laptop & Accessory,4,Married,11,0,16.0,1.0,4.0,7.0,188.89,0.01194344781126593,0,0
4074,8.0,Mobile Phone,3,7.0,E-Wallet,Male,3.0,4,Fashion,1,Single,3,0,22.0,2.0,3.0,4.0,223.88,0.009759584489048392,0,0
507,15.0,Computer,1,13.0,Credit Card,Male,2.0,3,Mobile Phone,2,Single,6,1,14.0,0.0,2.0,2.0,125.15,0.010922777652804748,0,0
2454,7.0,Mobile Phone,3,35.0,Cash on Delivery,Male,2.0,3,Fashion,4,Married,4,0,12.0,1.0,1.0,3.0,192.5,0.07914399405642174,0,0
1402,8.0,Mobile Phone,1,29.0,Credit Card,Female,1.0,3,Mobile Phone,5,Married,4,1,15.0,0.0,2.0,2.0,140.14,0.3027016262827337,0,0
4117,14.0,Mobile Phone,1,7.0,Debit Card,Male,3.0,4,Mobile Phone,1,Married,10,0,20.0,1.0,2.0,1.0,149.06,0.04869631803001516,0,0
1978,9.0,Mobile Phone,2,13.0,Debit Card,Male,3.0,4,Mobile Phone,5,Married,1,0,21.0,0.0,1.0,3.0,123.41999999999999,0.013741204195351455,0,0
3633,20.0,Mobile Phone,2,7.0,Debit Card,Female,3.0,4,Mobile Phone,5,Single,8,0,13.0,4.0,6.0,8.0,159.23,0.014045634829056238,0,0
232,1.0,Computer,3,6.0,Cash on Delivery,Female,2.0,4,Mobile Phone,4,Single,2,1,11.0,1.0,1.0,2.0,121.74000000000001,0.9976110619131918,1,1
1301,5.0,Mobile Phone,1,35.0,Debit Card,Female,3.0,4,Mobile Phone,4,Single,2,0,13.0,3.0,4.0,1.0,128.37,0.07969784162769614,0,0
3476,1.0,Computer,1,15.0,Debit Card,Male,3.0,6,Mobile Phone,3,Divorced,3,0,20.0,2.0,2.0,3.0,171.21,0.21821718520785952,0,0
3194,9.0,Computer,3,33.0,Debit Card,Female,4.0,4,Laptop & Accessory,5,Divorced,4,0,15.0,1.0,2.0,1.0,167.86,0.7807145876943024,1,1
1968,3.0,Computer,1,11.0,Debit Card,Male,3.0,4,Mobile Phone,1,Married,10,0,12.0,0.0,1.0,3.0,137.61,0.0568839693239972,0,0
1101,5.0,Computer,1,16.0,Debit Card,Male,2.0,3,Mobile Phone,3,Married,7,0,13.0,0.0,1.0,3.0,134.33,0.08485896632400725,0,0
3755,29.0,Mobile Phone,1,11.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,2,1,17.0,1.0,2.0,3.0,165.35,0.0011911684250580613,0,0
309,4.0,Mobile Phone,1,15.0,Debit Card,Male,2.0,3,Fashion,4,Married,2,0,25.0,1.0,1.0,8.0,206.48000000000002,0.018323644692275706,0,0
3143,1.0,Computer,2,24.0,Debit Card,Female,3.0,4,Mobile Phone,3,Married,2,1,12.0,1.0,2.0,1.0,152.41,0.9326675707101683,1,1
651,0.0,Computer,3,15.0,E-Wallet,Female,2.0,3,Mobile Phone,2,Single,2,1,14.0,0.0,1.0,2.0,123.22999999999999,0.9984655920624161,1,1
